  ,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
gituuuuu,0,0,0,0,0,0,0.164470364,0,0,0
oooooh,0,0,0,0,0,0,0.164470364,0,0,0
meeeeeee,0,0,0,0,0.255842788,0,0,0,0,0
xjd1bnfg4w,0,0,0,0,0,0,0,0,0,0.383764182
app,0.135446182,0,0,0,0,0,0,0,0,0
alive,0,0,0.276310211,0,0,0,0,0,0,0
belapa,0,0,0,0.255842788,0,0,0,0,0,0
chef,0,0,0,0,0,0,0,0.255842788,0,0
ajadah,0,0,0,0.255842788,0,0,0,0,0,0
#photo,0,0,0,0,0,0,0,0,0,0.383764182
fine,0.135446182,0,0,0,0,0,0,0,0,0
rt,0,0,0,0,0.178826435,0,0.229919702,0,0,0
iyaaaa,0,0,0,0,0,0,0.164470364,0,0,0
tumblr,0,0,0,0,0,0,0,0,0,0.383764182
lo,0,0,0,0,0,0,0.164470364,0,0,0
working,0.135446182,0,0,0,0,0,0,0,0,0
tv,0,0,0.092103404,0,0,0,0,0,0,0
it's,0.135446182,0,0,0,0,0,0,0,0,0
tweet,0,0,0,0,0.255842788,0,0,0,0,0
hungry,0,0,0,0,0,0,0,0.255842788,0,0
lol,0,0,0,0,0,0,0,0,0.328940728,0
jan,0,0,0.184206807,0,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0.328940728,0
gituuu,0,0,0,0,0,0,0.164470364,0,0,0
much,0,0.328940728,0,0,0,0,0,0,0,0
online,0,0,0,0,0,0,0.164470364,0,0,0
@renyfebry,0,0,0,0,0,0,0.164470364,0,0,0
sih,0,0,0,0,0,0,0.164470364,0,0,0
mandi,0,0,0,0.255842788,0,0,0,0,0,0
ngapain,0,0,0,0,0,0,0.164470364,0,0,0
shows,0,0,0.092103404,0,0,0,0,0,0,0
wants,0,0,0,0,0.255842788,0,0,0,0,0
cekalang,0,0,0,0.255842788,0,0,0,0,0,0
@kissmytweetmuah,0,0,0,0,0,0,0,0,0.328940728,0
http,0,0,0.064377516,0,0,0,0,0,0,0.268239652
get,0,0,0.276310211,0,0,0,0,0,0,0
nif,0,0,0,0,0,0,0.164470364,0,0,0
ipod,0.135446182,0,0,0,0,0,0,0,0,0
males,0,0,0,0.255842788,0,0,0,0,0,0
haha,0.135446182,0,0,0,0,0,0,0,0,0
@hanifpeng,0,0,0,0,0,0,0.328940728,0,0,0
abduction,0,0,0.184206807,0,0,0,0,0,0,0
#tumblr,0.135446182,0,0,0,0,0,0,0,0,0
@chalk_flew_up,0,0.328940728,0,0,0,0,0,0,0,0
nantian,0,0,0,0.255842788,0,0,0,0,0,0
name,0,0,0,0,0,0,0,0.255842788,0,0
bsstracing,0,0,0.092103404,0,0,0,0,0,0,0
jam,0,0,0,0.255842788,0,0,0,0,0,0
stadd,0,0,0,0,0,2.302585093,0,0,0,0
word,0,0,0,0,0,0,0,0,0.328940728,0
longer,0,0.328940728,0,0,0,0,0,0,0,0
salad,0,0,0,0,0,0,0,0.255842788,0,0
mandinyah,0,0,0,0.255842788,0,0,0,0,0,0
maybe,0,0.328940728,0,0,0,0,0,0,0,0
@biebercrombie,0.135446182,0,0,0,0,0,0,0,0,0
akuh,0,0,0,0.255842788,0,0,0,0,0,0
html,0,0,0.092103404,0,0,0,0,0,0,0
seco,0,0,0,0,0,0,0,0,0,0.383764182
calling,0,0,0,0,0,0,0,0.255842788,0,0
u,0,0,0,0,0,0,0,0,0.328940728,0
jungle,0,0,0.184206807,0,0,0,0,0,0,0
yup,0,0.328940728,0,0,0,0,0,0,0,0
i'm,0.189345637,0,0,0,0,0,0,0.178826435,0,0
com,0,0,0.064377516,0,0,0,0,0,0,0.268239652
@misslovelace_,0,0,0,0,0.255842788,0,0,0,0,0
thats,0,0,0,0,0,0,0,0,0.328940728,0
