gituuuuu,oooooh,meeeeeee,xjd1bnfg4w,app,alive,belapa,chef,ajadah,#photo,fine,rt,iyaaaa,tumblr,lo,working,tv,it's,tweet,hungry,lol,jan,feel,gituuu,much,online,@renyfebry,sih,mandi,ngapain,shows,wants,cekalang,@kissmytweetmuah,http,get,nif,ipod,males,haha,@hanifpeng,abduction,#tumblr,@chalk_flew_up,nantian,name,bsstracing,jam,stadd,word,longer,salad,mandinyah,maybe,@biebercrombie,akuh,html,seco,calling,u,jungle,yup,i'm,com,@misslovelace_,thats
0,0,0,0,0.135446182,0,0,0,0,0,0.135446182,0,0,0,0,0.135446182,0,0.135446182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135446182,0,0.135446182,0,0,0.135446182,0,0,0,0,0,0,0,0,0,0,0,0.135446182,0,0,0,0,0,0,0,0.189345637,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328940728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328940728,0,0,0,0,0,0,0.328940728,0,0,0.328940728,0,0,0,0,0,0,0,0.328940728,0,0,0,0
0,0,0,0,0,0.276310211,0,0,0,0,0,0,0,0,0,0,0.092103404,0,0,0,0,0.184206807,0,0,0,0,0,0,0,0,0.092103404,0,0,0,0.064377516,0.276310211,0,0,0,0,0,0.184206807,0,0,0,0,0.092103404,0,0,0,0,0,0,0,0,0,0.092103404,0,0,0,0.184206807,0,0,0.064377516,0,0
0,0,0,0,0,0,0.255842788,0,0.255842788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255842788,0,0,0,0.255842788,0,0,0,0,0,0.255842788,0,0,0,0,0,0.255842788,0,0,0.255842788,0,0,0,0,0.255842788,0,0,0.255842788,0,0,0,0,0,0,0,0,0,0
0,0,0.255842788,0,0,0,0,0,0,0,0,0.178826435,0,0,0,0,0,0,0.255842788,0,0,0,0,0,0,0,0,0,0,0,0,0.255842788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255842788,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302585093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.164470364,0.164470364,0,0,0,0,0,0,0,0,0,0.229919702,0.164470364,0,0.164470364,0,0,0,0,0,0,0,0,0.164470364,0,0.164470364,0.164470364,0.164470364,0,0.164470364,0,0,0,0,0,0,0.164470364,0,0,0,0.328940728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.255842788,0,0,0,0,0,0,0,0,0,0,0,0.255842788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255842788,0,0,0,0,0,0.255842788,0,0,0,0,0,0,0.255842788,0,0,0,0.178826435,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328940728,0,0.328940728,0,0,0,0,0,0,0,0,0,0,0.328940728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328940728,0,0,0,0,0,0,0,0,0,0.328940728,0,0,0,0,0,0.328940728
0,0,0,0.383764182,0,0,0,0,0,0.383764182,0,0,0,0.383764182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268239652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383764182,0,0,0,0,0,0.268239652,0,0
