,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Label
1,0.001671615,-0.011692308,0.003932793,-0.01196088,0.003382366,-0.00540907,0.002830574,-9.15E-05,9.47E-05,-0.003325834,3
2,0.002904105,-0.006960541,0.002682763,-0.007562323,-8.11E-05,-0.003181667,-0.001560451,-0.000426915,-0.000717613,0.000185888,4
3,0.006987151,0.00037328,0.000169993,-0.001670054,-0.012754487,0.001236464,0.000369929,0.011489567,-0.010988278,-0.000337949,4
4,0.002968745,-0.014671117,0.001472151,-0.008159856,0.001616275,-0.004548831,0.000617681,-0.000389878,-0.000329821,-0.000905663,3
5,0.000684913,-0.004444353,0.001307547,-0.004253188,0.000998225,-0.001989564,0.000902793,6.23E-05,-1.26E-05,-0.000753789,4
6,0.001902792,-0.001033136,0.000447217,-0.00205939,-0.005580815,-0.000468231,-0.004950597,0.000597602,0.000196198,-0.000490857,4
7,0.00152526,-0.010205234,0.003603089,-0.010568742,0.003458763,0.007593685,0.001068983,-2.09E-07,-7.64E-05,-0.00175069,3
8,0.001182956,-0.008336202,0.002710974,-0.008672276,0.002401113,-0.003628597,0.001937073,-1.03E-05,-4.68E-05,-0.00158251,3
9,0.019442957,0.002065716,1.13E-05,-0.000540727,0.000979826,-0.002608577,-0.028678348,0.005673719,-0.004503046,-0.001050703,10
10,0.002483942,-0.000899487,0.000247104,-0.001771313,-0.005970091,-0.000270091,-0.005539066,0.001042621,0.001299577,-0.000407557,4
11,0.001491397,-0.002729566,0.000974076,-0.003047045,-0.000590304,-0.001210463,-0.00125282,-0.000135492,-0.00031463,0.000410863,4
12,0.011582561,-0.002590254,0.001364653,-0.005215076,-0.008625707,-0.002017434,-0.014615143,0.007954812,0.007939327,0.00130243,10
13,0.002429345,-0.019008512,0.008219629,-0.003413862,0.002337717,-0.004884549,0.002215602,-3.58E-05,-7.68E-05,0.000580611,3
14,0.009189944,-0.001286021,0.000840209,-0.00288633,-0.00634178,-0.00035927,-0.000355272,0.005822271,0.01554805,-0.000239275,10
15,0.002494553,-0.016676894,0.006103311,-0.017422044,0.004720105,-0.007645716,0.003637131,-0.000146156,0.000156227,-0.001046569,3
16,0.001021667,-0.007063736,0.002212,-0.006604204,0.001952623,-0.002910162,0.00140799,-0.000118035,-6.01E-05,-0.001006195,4
17,0.002668652,-0.01367498,-0.000996507,-0.004398174,0.000740223,-0.003026547,0.000110524,-0.00026034,-0.00047229,-0.0009936,3
18,0.001678795,-0.010527671,0.003646008,-0.010614601,0.002704808,-0.003837092,0.00179984,-0.000179462,-9.87E-05,-0.001965863,3
19,0.004175174,-0.009944285,0.00374464,-0.011269352,-0.000145055,-0.004703973,-0.002792998,-0.000403896,-0.000916141,0.000410045,3
20,0.003563656,-0.000498841,0.000427182,-0.002095852,-0.006902419,0.000880484,-0.005221749,0.002275126,0.001900712,-0.000308829,4
21,0.018207214,0.002541155,-0.000237206,-2.80E-05,-0.010014102,0.001976222,0.008069965,0.006047503,0.025543553,-0.001086025,10
22,0.002865055,-0.022382076,0.013712469,-0.008542976,0.004120974,-0.007773056,0.003847505,-0.000147299,7.60E-05,-0.002142984,3
23,0.001854131,-0.005946215,0.002192776,-0.006367052,0.000543039,-0.002948582,-0.000388489,-0.000212679,-0.000364334,-0.000265389,4
24,0.001323739,-0.012031959,-0.002320761,-0.001546697,0.001434252,-0.002281499,0.001417609,-0.000118366,-1.12E-05,-0.001431823,4
25,0.002142109,-0.015477777,0.011215467,-0.001116277,0.001516655,-0.003212074,0.00161046,-0.000101128,0.000125719,-0.003049839,3
26,0.000849681,-0.005973811,0.00140736,-0.005320187,0.00148765,-0.002768809,0.00131028,-0.000154809,-4.88E-05,-0.001388537,4
27,0.000573983,-0.000404574,0.000233726,-0.00077015,-0.001019589,-6.21E-05,-0.000810886,-0.00020628,-0.000221908,-0.000224307,4
28,0.003287613,-0.02843571,-0.004435613,-0.004460431,0.002964104,-0.005535454,0.003384456,-7.34E-05,-0.00017728,-0.004504821,3
29,0.00303289,-0.000270496,0.000271859,-0.001671991,-0.007692618,-2.80E-05,-0.006583942,0.001063919,0.001948346,-0.00035194,4
30,0.002401289,-0.018618736,0.002263183,-0.011790204,0.003996345,-0.006322104,0.003545463,-0.000108369,0.000102268,-0.00298129,3
31,0.001435587,-0.011937794,-0.001577432,-0.002915891,0.001444618,-0.002121656,0.001515875,-8.92E-05,4.21E-05,-0.001467299,4
32,0.000765959,-0.005171427,0.001528859,-0.005093397,0.001259032,-0.002134157,0.000954594,7.27E-05,-8.57E-05,-0.00078153,4
33,0.001558897,-0.011864558,0.000671382,-0.006502233,0.00227038,-0.003241258,0.001926227,-6.77E-05,0.000152928,-0.00258183,3
34,0.002031906,-0.007040919,0.00266323,-0.008158754,0.001859031,0.007833509,-0.001172844,-0.000264155,-0.000443429,-0.000329775,4
35,0.000854836,-0.006895311,0.015158836,0.004476983,0.000260333,-0.000891177,0.000521212,-5.37E-05,8.74E-05,-0.000778863,4
36,0.001675082,-0.010957847,0.012777499,-0.003219481,0.001650718,-0.003194305,0.001354344,-3.09E-06,8.61E-05,0.000451096,3
37,0.002107458,-0.007130624,0.002559447,-0.007708487,0.000849012,-0.003345462,-0.000316063,-0.00031178,-0.000485387,0.00040751,4
38,0.001646912,-0.011192152,0.004130235,-0.011893629,0.003267963,-0.005235796,0.002182975,3.92E-05,0.00026185,0.032629939,3
39,0.001681331,-0.012240777,0.004047699,-0.012455754,0.003671794,-0.005650501,0.00316909,-6.61E-05,0.000148755,-0.003121018,3
40,0.001102906,-0.007030504,0.002661709,-0.008045343,0.002860912,0.007848458,0.000230114,-8.55E-05,7.75E-05,-0.000339528,4
41,0.002032594,-0.014550532,0.004936388,-0.015438037,0.004652366,-0.006755935,0.00398786,-0.000138576,0.000290405,-0.000723946,3
42,0.002321243,-0.009528674,0.003211501,-0.009582412,0.001590336,-0.004094115,0.000512787,-0.000281682,-0.000325656,-0.001582063,3
43,0.002230625,-0.018733858,0.011282477,0.000157366,0.002032021,-0.004054905,0.002486381,-0.000121431,-0.000150821,-0.002253542,3
44,0.002552692,-0.016643853,0.005702922,-0.016913255,0.004224439,-0.007481153,0.003560049,0.000129944,0.000114085,-0.001089889,3
45,8.35E-05,-0.000293131,0.000125695,-0.000448542,-7.74E-05,-0.000109968,-0.000150878,1.11E-05,-5.46E-06,-0.000126137,4
46,0.006533392,-0.000727983,0.00072884,-0.004112857,-0.01801834,0.001064589,-0.013421423,0.002071306,0.001442167,-0.000513352,10
47,0.003858279,-0.008644056,0.002956229,-0.010043093,-8.12E-05,-0.003619692,-0.002407774,-0.000471457,-0.000878586,-0.000153551,3
48,0.000962645,-0.002273656,0.000830643,-0.002628422,-0.000365211,-0.001201836,-0.001071557,0.000253425,0.000430311,7.74E-05,4
49,0.001426275,-0.009382606,0.003219421,-0.010253091,0.002845121,-0.004481126,0.002261776,-0.000153019,5.43E-05,-0.002339185,3
50,0.005979558,0.000299013,0.000208972,-0.00171317,-0.011965417,0.000760053,-0.005278983,0.003264501,-0.000828864,-0.000842558,10
51,0.007461329,4.76E-05,0.000365742,-0.002504139,-0.0128254,0.000236831,-0.01117495,0.003617088,0.005460893,-0.00064934,10
52,0.001691466,-0.004474155,0.001765974,-0.00491437,0.000147149,-0.002258846,-0.000721489,-0.000246771,-0.000414202,0.00038645,4
53,0.00053395,-0.003238674,0.001182866,-0.003175785,0.00075715,-0.001543595,0.000521592,-2.34E-05,-1.22E-05,-0.00050367,4
54,0.001751495,-0.011574328,0.003530213,-0.010341857,0.002969386,-0.005412501,0.002760059,0.000202047,-6.29E-05,-0.002048167,3
55,0.001254756,-0.011078211,-0.00324278,0.000896142,0.000493175,-0.001734301,0.000632945,3.11E-05,6.87E-05,-0.000685217,4
56,0.004637329,-0.0146986,0.005119345,-0.014845767,0.001399865,-0.007341523,-0.001008106,-0.000556951,-0.000910056,-0.000864565,3
57,0.002942844,-0.014825269,0.001478778,-0.008799422,0.001846134,-0.003863645,0.000692429,-0.000310447,-0.00040251,-0.00198077,3
58,0.001375325,-0.010123212,0.002996059,-0.010140294,0.003140772,-0.004848288,0.002532726,-0.000115797,-6.16E-05,-0.002449348,3
59,0.001992536,-0.006783934,0.00263593,-0.006962349,0.000817043,-0.00300862,-0.000118073,-0.000241801,-0.000299171,-0.000321011,4
60,0.001959029,-0.014881616,0.009677739,0.000617109,0.001587519,0.007331592,-0.000176773,0.000102488,-1.54E-05,-0.001054961,4
61,0.001615792,-0.011207201,0.003480182,-0.010932345,0.003233129,-0.00464907,0.002778482,-6.81E-05,0.000143478,-0.002631527,3
